measure_id,measure_name,location_id,location_name,FIPS,sex_id,sex,age_id,age_name,year_id,metric,val,upper,lower
26,Life expectancy,527,California,6,1,Male,161,0,1980,Years,70.82503074,70.89760697,70.75236592
26,Life expectancy,527,California,6,1,Male,161,0,1981,Years,71.25399766,71.32463949,71.18525321
26,Life expectancy,527,California,6,1,Male,161,0,1982,Years,71.50567957,71.5730041,71.43894874
26,Life expectancy,527,California,6,1,Male,161,0,1983,Years,72.02296395,72.08637298,71.9556971
26,Life expectancy,527,California,6,1,Male,161,0,1984,Years,71.95847206,72.02064954,71.89063374
26,Life expectancy,527,California,6,1,Male,161,0,1985,Years,71.96206954,72.02806487,71.89628312
26,Life expectancy,527,California,6,1,Male,161,0,1986,Years,72.10216835,72.16984273,72.03541295
26,Life expectancy,527,California,6,1,Male,161,0,1987,Years,72.15083501,72.21555957,72.08751847
26,Life expectancy,527,California,6,1,Male,161,0,1988,Years,72.27790088,72.34145648,72.21642392
26,Life expectancy,527,California,6,1,Male,161,0,1989,Years,72.35522452,72.41826835,72.28789225
26,Life expectancy,527,California,6,1,Male,161,0,1990,Years,72.71625071,72.77945643,72.6567272
26,Life expectancy,527,California,6,1,Male,161,0,1991,Years,72.93590183,72.9979877,72.87212101
26,Life expectancy,527,California,6,1,Male,161,0,1992,Years,73.16980557,73.23568934,73.10525326
26,Life expectancy,527,California,6,1,Male,161,0,1993,Years,73.26582225,73.32627133,73.20600241
26,Life expectancy,527,California,6,1,Male,161,0,1994,Years,73.36457881,73.42355527,73.304404
26,Life expectancy,527,California,6,1,Male,161,0,1995,Years,73.65789618,73.71259585,73.59602886
26,Life expectancy,527,California,6,1,Male,161,0,1996,Years,74.35229987,74.41428705,74.28940478
26,Life expectancy,527,California,6,1,Male,161,0,1997,Years,74.92150578,74.97743003,74.86468
26,Life expectancy,527,California,6,1,Male,161,0,1998,Years,75.22239725,75.28486349,75.16353215
26,Life expectancy,527,California,6,1,Male,161,0,1999,Years,75.5046813,75.56182541,75.44764804
26,Life expectancy,527,California,6,1,Male,161,0,2000,Years,75.67912776,75.73298645,75.62336083
26,Life expectancy,527,California,6,1,Male,161,0,2001,Years,75.72247276,75.80361792,75.61703731
26,Life expectancy,527,California,6,1,Male,161,0,2002,Years,75.99440291,76.04971963,75.93876155
26,Life expectancy,527,California,6,1,Male,161,0,2003,Years,76.04102992,76.0946587,75.98460659
26,Life expectancy,527,California,6,1,Male,161,0,2004,Years,76.47640237,76.53272899,76.4201419
26,Life expectancy,527,California,6,1,Male,161,0,2005,Years,76.54481618,76.61121161,76.46415645
26,Life expectancy,527,California,6,1,Male,161,0,2006,Years,76.65910221,76.71640228,76.60317066
26,Life expectancy,527,California,6,1,Male,161,0,2007,Years,77.07362671,77.12939407,77.01647656
26,Life expectancy,527,California,6,1,Male,161,0,2008,Years,77.46902383,77.52749701,77.41183169
26,Life expectancy,527,California,6,1,Male,161,0,2009,Years,77.70944415,77.76595356,77.6522939
26,Life expectancy,527,California,6,1,Male,161,0,2010,Years,78.13380541,78.18801395,78.08122968
26,Life expectancy,527,California,6,1,Male,161,0,2011,Years,78.16893166,78.22760837,78.11748194
26,Life expectancy,527,California,6,1,Male,161,0,2012,Years,78.33305242,78.39021414,78.27742205
26,Life expectancy,527,California,6,1,Male,161,0,2013,Years,78.38697846,78.44203561,78.33291848
26,Life expectancy,527,California,6,1,Male,161,0,2014,Years,78.60816199,78.67408921,78.53833603
26,Life expectancy,527,California,6,2,Female,161,0,1980,Years,77.76683518,77.83166867,77.70271077
26,Life expectancy,527,California,6,2,Female,161,0,1981,Years,78.07029336,78.13127802,78.00821768
26,Life expectancy,527,California,6,2,Female,161,0,1982,Years,78.22132176,78.28512175,78.16065144
26,Life expectancy,527,California,6,2,Female,161,0,1983,Years,78.48618144,78.54256716,78.42701618
26,Life expectancy,527,California,6,2,Female,161,0,1984,Years,78.44943514,78.50731467,78.38856544
26,Life expectancy,527,California,6,2,Female,161,0,1985,Years,78.49119488,78.54679477,78.43503945
26,Life expectancy,527,California,6,2,Female,161,0,1986,Years,78.72758717,78.7896897,78.67064679
26,Life expectancy,527,California,6,2,Female,161,0,1987,Years,78.66830119,78.72896529,78.60953529
26,Life expectancy,527,California,6,2,Female,161,0,1988,Years,78.65893388,78.717462,78.60069692
26,Life expectancy,527,California,6,2,Female,161,0,1989,Years,78.79925976,78.85382333,78.74269377
26,Life expectancy,527,California,6,2,Female,161,0,1990,Years,79.18051065,79.23578846,79.12186729
26,Life expectancy,527,California,6,2,Female,161,0,1991,Years,79.34508392,79.39974551,79.28872243
26,Life expectancy,527,California,6,2,Female,161,0,1992,Years,79.52583622,79.58113775,79.47093643
26,Life expectancy,527,California,6,2,Female,161,0,1993,Years,79.62473295,79.67437098,79.57093845
26,Life expectancy,527,California,6,2,Female,161,0,1994,Years,79.58612383,79.64135329,79.53004459
26,Life expectancy,527,California,6,2,Female,161,0,1995,Years,79.79509417,79.85127578,79.74508128
26,Life expectancy,527,California,6,2,Female,161,0,1996,Years,79.92388143,79.97871278,79.8719475
26,Life expectancy,527,California,6,2,Female,161,0,1997,Years,80.05029977,80.10050705,79.99870761
26,Life expectancy,527,California,6,2,Female,161,0,1998,Years,80.22081928,80.28082591,80.16769009
26,Life expectancy,527,California,6,2,Female,161,0,1999,Years,80.32730545,80.38024051,80.27756213
26,Life expectancy,527,California,6,2,Female,161,0,2000,Years,80.53225554,80.58117053,80.48204569
26,Life expectancy,527,California,6,2,Female,161,0,2001,Years,80.48370349,80.53617987,80.42664592
26,Life expectancy,527,California,6,2,Female,161,0,2002,Years,80.72704573,80.77662017,80.67741543
26,Life expectancy,527,California,6,2,Female,161,0,2003,Years,80.81677521,80.86607507,80.76670328
26,Life expectancy,527,California,6,2,Female,161,0,2004,Years,81.11338789,81.16020655,81.06373804
26,Life expectancy,527,California,6,2,Female,161,0,2005,Years,81.29497819,81.34885253,81.23579987
26,Life expectancy,527,California,6,2,Female,161,0,2006,Years,81.3733362,81.42374312,81.32284088
26,Life expectancy,527,California,6,2,Female,161,0,2007,Years,81.74687851,81.79546276,81.69720458
26,Life expectancy,527,California,6,2,Female,161,0,2008,Years,82.02661395,82.07882363,81.97834231
26,Life expectancy,527,California,6,2,Female,161,0,2009,Years,82.1381348,82.18686843,82.08750276
26,Life expectancy,527,California,6,2,Female,161,0,2010,Years,82.47941036,82.52913937,82.43432785
26,Life expectancy,527,California,6,2,Female,161,0,2011,Years,82.51501592,82.56441711,82.46363529
